paper_id,doi,title,year,journal,source_url,download_provenance,historical_path,sha256,pages,license,classification,license_evidence,supplement_doi,supplement_url,distribution,reason
FREE-15,10.1016/j.jma.2025.02.032,Chemically stable TMOx@Ti-MgO (TM = Mn and Cu) catalyst enhanced De/hydrogenation kinetics of Mg/MgH2,2026,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2025.02.032,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (9 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-08-11/91190b24-cfe7-41e5-b0d0-ceaafdd7d34a.pdf Priority for later extraction: paired Mn/Cu catalyst families under one study. Crossref title drops subscript x; title corrected from PDF to TMOx. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/core_primary/oxides/FREE-15__2026__TMOx_Ti_MgO.pdf,eb264b0304351fe7ec6edc160d8c0ea1575ff57d92184eefb6799e860e8c5262,9,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
FREE-7,10.1016/j.jma.2024.03.025,LaVO4 prepared by a high–yield method for superior catalysis to the hydrogen storage of MgH2,2025,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2024.03.025,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (13 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-07-14/9c3e8bca-8a7b-43f5-9acd-2a399951c0a9.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/core_primary/oxides/FREE-7__2025__LaVO4.pdf,9ad4164e8a5c5b079f6fe7ecafb6481df1f0ab2db8d067d21876b976a0687897,13,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
FREE-8,10.1016/j.jma.2024.02.012,Constructing VO/V2O3 interface to enhance hydrogen storage performance of MgH2,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2024.02.012,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (10 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2025-12-23/eaab7239-56f3-408c-a9ad-ae01a64bf454.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/core_primary/oxides/FREE-8__2024__VO_V2O3.pdf,d6d6a9fbc767279cb65852d4e99bf5aed77e65e98b8731f213b31b0b4159fcce,10,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
FREE-9,10.1016/j.jma.2021.11.005,NaH doped TiO2 as a high-performance catalyst for Mg/MgH2 cycling stability and room temperature absorption,2023,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2021.11.005,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (10 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2025-12-05/5d9b0262-34d1-4d09-9b1d-67f230d3d2b1.pdf Priority for later extraction: catalyst precursor-ratio variation, controls, cycling and room-temperature absorption experiments. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/core_primary/oxides/FREE-9__2023__NaH_TiO2.pdf,184e874eb29f9ab0e113d9fb7515faef29f0b964a4cb8140b61964426af9ce7b,10,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
EXISTING-A,10.1016/j.jma.2021.11.033,Effect of ternary transition metal sulfide FeNi2S4 on hydrogen storage performance of MgH2,2023,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2021.11.033,"Existing full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Existing full primary article retained as core. Its printed supplementary locator points to 10.1016/j.sipas.2020.100009, which differs from this article DOI; do not associate that target without verification. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/core_primary/sulfides/EXISTING-A__2023__MgH2_FeNi2S4.pdf,71e5bbccc80a2b6544dd389dd4ca280a45872915a1b063e750c45f204ba2943b,12,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
FREE-16,10.1016/j.jma.2026.102033,Synthesis of sulfur self-doped FeNi–S coordinated carbon derived from petroleum coke for accelerated Mg/MgH2 hydrogen storage,2026,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2026.102033,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (15 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-07-07/e35adfaa-1b62-4bfb-ba73-3d8f70d0fe59.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/core_primary/sulfides/FREE-16__2026__FeNi_S_carbon.pdf,2e1fa99cd8f58b827b7d65b25f8bf1cfa912437433269fd68b7e51ec5eb41e28,15,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
EXISTING-B,10.1016/j.jma.2024.03.004,Inclusion of CoTiO3 to ameliorate the re/dehydrogenation properties of the Mg–Na–Al system,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2024.03.004,"Existing full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Experimental MgH2-NaAlH4/CoTiO3 reactive system; extended only.",data/phase4_data_sources/extended_primary/reactive_hydride_composites/EXISTING-B__2024__MgH2_NaAlH4_CoTiO3.pdf,262a9409e39012b67b1f81e09a00d61099808ea604f865fe72811d0deb80a53e,12,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
EXISTING-C,10.1016/j.jssc.2011.09.019,Sorption and desorption properties of a CaH2/MgB2/CaF2 reactive hydride composite as potential hydrogen storage material,2011,Journal of Solid State Chemistry,https://doi.org/10.1016/j.jssc.2011.09.019,"Existing full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (22 pages). Existing Helmholtz Final Draft accepted manuscript, complete article. CaH2/MgB2/CaF2 reactive hydride composite; extended only.",data/phase4_data_sources/extended_primary/reactive_hydride_composites/EXISTING-C__2011__CaH2_MgB2_CaF2.pdf,2a512cd3c54bda7b3a71ff44973b81849aa72f4c378b0c2e2e9c4f6e448864f3,22,Reuse terms not asserted,redistribution license unclear,No redistribution license asserted,,,not distributed,Accepted manuscript has no asserted redistribution permission.
NOTE-1,,H2-TRIAD Team Decision Map (Arabic),,,,Existing project note; readable complete supplied document. Not a journal article or primary experimental source. Proposed catalyst combinations and combined evidence must never become measured training records.,data/phase4_data_sources/notes_nontraining/NOTE-1__Team_Decision_Map_AR.pdf,ae7df663fb2e0cae7810658ab74a036a6a27c5090d432a8c2e3dc3c35c0b0f39,4,No public license asserted,project note: excluded,No redistribution license asserted,,,not distributed,Preliminary/internal context; not primary scientific evidence.
NOTE-2,,Thermokinetic Enhancement of Magnesium Hydride for Rapid and Efficient Hydrogen Storage,,,,Existing project note; readable complete supplied document. Not a journal article or primary experimental source. Proposed catalyst combinations and combined evidence must never become measured training records.,data/phase4_data_sources/notes_nontraining/NOTE-2__Hackathon_Project_Proposal.pdf,4b5073ded5309bd251fddaee1913558f16b753916057b834447340e849f026b0,4,No public license asserted,project note: excluded,No redistribution license asserted,,,not distributed,Preliminary/internal context; not primary scientific evidence.
NOTE-3,,Scientific Data Summary: Catalytic Enhancement of Hydrogen Storage in MgH2,,,,Existing project note; readable complete supplied document. Not a journal article or primary experimental source. Proposed catalyst combinations and combined evidence must never become measured training records.,data/phase4_data_sources/notes_nontraining/NOTE-3__Hackathon_Scientific_Summary.pdf,77eede33588b709c4dea5361914888638edb9cee8e416acd34cf2de95637aa90,8,No public license asserted,project note: excluded,No redistribution license asserted,,,not distributed,Preliminary/internal context; not primary scientific evidence.
EXISTING-D,10.1016/j.jma.2025.09.034,Research advances of magnesium and magnesium alloys globally in 2024,2025,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2025.09.034,"Existing full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (44 pages). Large magnesium review/index; not a primary training source.",data/phase4_data_sources/reviews_indexes/EXISTING-D__2025__Magnesium_global_review.pdf,ef41ed5e5bd40ca319a9517297d9e65c1d930d52e018cd4280798609c7b58910,44,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
R1,10.1016/j.jma.2025.08.021,From LLM to Agent: A large-language-model-driven machine learning framework for catalyst design of MgH2 dehydrogenation,2026,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2025.08.021,"Existing full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (17 pages). Machine-learning/agent methodology article; reference only even if it discusses experimental validation. Already present locally although guide lists it as an acquisition reference. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/reviews_indexes/R1__2026__LLM_Agent_methodology.pdf,5675b2e10bcc971ba38a363109200b6c1062f9a86286fef5389d767d1c240f89,17,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
R3,10.1016/j.jma.2025.08.018,Innovative applications of single-atom catalysts in MgH2/Mg system to build high-efficiency hydrogen storage,2026,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2025.08.018,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (22 pages). Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-08-11/c4cab2bf-dcd9-4628-bc1d-2bafec0858dc.pdf",data/phase4_data_sources/reviews_indexes/R3__2026__Single_atom_catalyst_review.pdf,2a451c918823174b392a7d7bf73d0d9f3db2c37a73288bf3b246034968eb8332,22,CC BY-NC-ND 4.0,redistribution license unclear for embedded third-party figures,Publisher PDF page 1,,,not distributed,Article is CC BY-NC-ND; separately credited figures require separate rights assessment.
NOPDF-11,10.1021/acsami.6b13222,Formation of Multiple-Phase Catalysts for the Hydrogen Storage of Mg Nanoparticles by Adding Flowerlike NiS,2017,ACS Applied Materials & Interfaces,https://doi.org/10.1021/acsami.6b13222,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified. Public ACS Figshare supplement acquired; full article remains unavailable.,data/phase4_data_sources/supplementary/NOPDF-11/NOPDF-11__am6b13222_si_001.pdf,983db1fab038e9e578c19794f71e17fead32b753cf74d4bce42c62ce806ab70d,7,CC BY-NC 4.0,redistribution explicitly permitted (conditional),Saved official ACS Figshare version 1 metadata,10.1021/acsami.6b13222.s001,https://ndownloader.figshare.com/files/7539670,not distributed,Omitted for repository size and separation of publication rights from software.
NOPDF-23,10.1021/acsami.4c18239,Effect of Ti-EG-Ni Dual-Metal Organic Crystal-Derived TiO2/C/Ni on the Hydrogen Storage Performance of MgH2,2025,ACS Applied Materials & Interfaces,https://doi.org/10.1021/acsami.4c18239,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified. Public ACS Figshare supplement acquired; full article remains unavailable.,data/phase4_data_sources/supplementary/NOPDF-23/NOPDF-23__am4c18239_si_001.pdf,5b464cd098e43483b23e8d17f0f04036041b3b6d91f77e462a0b62fb4808b97c,7,CC BY-NC 4.0,redistribution explicitly permitted (conditional),Saved official ACS Figshare version 1 metadata,10.1021/acsami.4c18239.s001,https://ndownloader.figshare.com/files/52602404,not distributed,Omitted for repository size and separation of publication rights from software.
