measurement_id,sample_id,source_id,paper_id,experiment_group_id,catalyst_system_group,base_material,material_class,catalyst_additive,catalyst_family,catalyst_composition,catalyst_components,catalyst_elements,support_material,catalyst_loading_wt_pct,preparation_method,milling_time_h,milling_speed_rpm,ball_to_powder_ratio,mgh2_particle_size_raw,catalyst_particle_size_raw,measurement_mode,experimental_method,temperature_c,pressure_bar,pressure_relation,duration_seconds,hydrogen_capacity_wt_pct,capacity_basis,value_qualifier,extraction_type,source_pdf_page,source_locator
M-0011,S-F03-CTRL,SRC-0003,FREE-3,EG-F03-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,planetary ball milling,6,400,40:1,<10 um,,desorption,isothermal_kinetics,300,0.001,=,3000,1.4,sample mass,reported,author_reported_text,3,Section 3.2; Fig. 3a
M-0012,S-F03-MMO41,SRC-0003,FREE-3,EG-F03-KIN,NI_TI_MMO,MgH2,single_hydride,MMO41,bimetallic_oxide_precursor,NiO-TiO2 derived Mg2Ni-TiH1.5 catalyst,NiO|TiO2|Mg2Ni|TiH1.5,Ni|Ti|O|Mg,,5,planetary ball milling,6,400,40:1,<10 um,,desorption,isothermal_kinetics,300,0.001,=,300,5.97,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 3c
M-0013,S-F03-MMO41,SRC-0003,FREE-3,EG-F03-KIN,NI_TI_MMO,MgH2,single_hydride,MMO41,bimetallic_oxide_precursor,NiO-TiO2 derived Mg2Ni-TiH1.5 catalyst,NiO|TiO2|Mg2Ni|TiH1.5,Ni|Ti|O|Mg,,5,planetary ball milling,6,400,40:1,<10 um,,desorption,isothermal_kinetics,250,0.001,=,1200,4.46,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 3c
M-0014,S-F04-NICU11,SRC-0004,FREE-4,EG-F04-KIN,NI_CU_CARBON,MgH2,single_hydride,NiCu@C,carbon_supported_bimetal,Ni-Cu alloy supported on carbon,Ni|Cu|C,Ni|Cu|C,carbon,11,planetary ball milling,10,400,40:1,,,desorption,isothermal_kinetics,300,0.05,=,600,5.3,sample mass,reported,author_reported_text,4,Section 3.2; Fig. 3a
M-0015,S-F04-NICU11,SRC-0004,FREE-4,EG-F04-KIN,NI_CU_CARBON,MgH2,single_hydride,NiCu@C,carbon_supported_bimetal,Ni-Cu alloy supported on carbon,Ni|Cu|C,Ni|Cu|C,carbon,11,planetary ball milling,10,400,40:1,,,desorption,isothermal_kinetics,275,0.05,=,1200,5,sample mass,approximately,author_reported_text,4,Section 3.2; Fig. 3b
M-0016,S-F04-NICU11,SRC-0004,FREE-4,EG-F04-KIN,NI_CU_CARBON,MgH2,single_hydride,NiCu@C,carbon_supported_bimetal,Ni-Cu alloy supported on carbon,Ni|Cu|C,Ni|Cu|C,carbon,11,planetary ball milling,10,400,40:1,,,desorption,isothermal_kinetics,260,0.05,=,2800,5,sample mass,approximately,author_reported_text,4,Section 3.2; Fig. 3b
M-0017,S-F04-NICU11,SRC-0004,FREE-4,EG-F04-KIN,NI_CU_CARBON,MgH2,single_hydride,NiCu@C,carbon_supported_bimetal,Ni-Cu alloy supported on carbon,Ni|Cu|C,Ni|Cu|C,carbon,11,planetary ball milling,10,400,40:1,,,desorption,isothermal_kinetics,250,0.05,=,5000,5,sample mass,approximately,author_reported_text,4,Section 3.2; Fig. 3b
M-0018,S-F04-NICU11,SRC-0004,FREE-4,EG-F04-KIN,NI_CU_CARBON,MgH2,single_hydride,NiCu@C,carbon_supported_bimetal,Ni-Cu alloy supported on carbon,Ni|Cu|C,Ni|Cu|C,carbon,11,planetary ball milling,10,400,40:1,,,absorption,isothermal_kinetics,150,30,=,1800,5,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 4a
M-0019,S-F04-NICU11,SRC-0004,FREE-4,EG-F04-KIN,NI_CU_CARBON,MgH2,single_hydride,NiCu@C,carbon_supported_bimetal,Ni-Cu alloy supported on carbon,Ni|Cu|C,Ni|Cu|C,carbon,11,planetary ball milling,10,400,40:1,,,absorption,isothermal_kinetics,125,30,=,1800,4.3,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 4a
M-0020,S-F04-NICU11,SRC-0004,FREE-4,EG-F04-KIN,NI_CU_CARBON,MgH2,single_hydride,NiCu@C,carbon_supported_bimetal,Ni-Cu alloy supported on carbon,Ni|Cu|C,Ni|Cu|C,carbon,11,planetary ball milling,10,400,40:1,,,absorption,isothermal_kinetics,115,30,=,1800,2.9,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 4a
M-0021,S-F04-NICU11,SRC-0004,FREE-4,EG-F04-KIN,NI_CU_CARBON,MgH2,single_hydride,NiCu@C,carbon_supported_bimetal,Ni-Cu alloy supported on carbon,Ni|Cu|C,Ni|Cu|C,carbon,11,planetary ball milling,10,400,40:1,,,absorption,isothermal_kinetics,100,30,=,1800,2,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 4a
M-0022,S-F05-NIVN7,SRC-0005,FREE-5,EG-F05-KIN,NI_V_NITRIDE,MgH2,single_hydride,Ni/VN,metal_nitride_composite,Ni nanoparticles on hollow spherical VN,Ni|VN,Ni|V|N,VN,7,planetary ball milling,10,400,40:1,, ,desorption,isothermal_kinetics,324.85,,,180,6.4,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 4c
M-0023,S-F05-NIVN7,SRC-0005,FREE-5,EG-F05-KIN,NI_V_NITRIDE,MgH2,single_hydride,Ni/VN,metal_nitride_composite,Ni nanoparticles on hollow spherical VN,Ni|VN,Ni|V|N,VN,7,planetary ball milling,10,400,40:1,, ,desorption,isothermal_kinetics,324.85,,,600,6.85,sample mass,approximately,author_reported_text,6,Section 3.2; Fig. 4c
M-0024,S-F05-NIVN7,SRC-0005,FREE-5,EG-F05-KIN,NI_V_NITRIDE,MgH2,single_hydride,Ni/VN,metal_nitride_composite,Ni nanoparticles on hollow spherical VN,Ni|VN,Ni|V|N,VN,7,planetary ball milling,10,400,40:1,, ,desorption,isothermal_kinetics,239.85,,,3600,5.6,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 4c
M-0025,S-F05-NIVN7,SRC-0005,FREE-5,EG-F05-KIN,NI_V_NITRIDE,MgH2,single_hydride,Ni/VN,metal_nitride_composite,Ni nanoparticles on hollow spherical VN,Ni|VN,Ni|V|N,VN,7,planetary ball milling,10,400,40:1,, ,absorption,isothermal_kinetics,149.85,30,=,300,6,sample mass,approximately,author_reported_text,7,Section 3.2; Fig. 4f
M-0026,S-F05-VN7,SRC-0005,FREE-5,EG-F05-KIN,V_NITRIDE,MgH2,single_hydride,VN,nitride,VN,VN,V|N,,7,planetary ball milling,10,400,40:1,,,desorption,isothermal_kinetics,324.85,,,180,5.8,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 4d
M-0027,S-F05-CTRL,SRC-0005,FREE-5,EG-F05-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,planetary ball milling,10,400,40:1,,,desorption,isothermal_kinetics,324.85,,,180,0.2,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 4e
M-0028,S-F05-CTRL,SRC-0005,FREE-5,EG-F05-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,planetary ball milling,10,400,40:1,,,desorption,isothermal_kinetics,324.85,,,3600,6.67,sample mass,approximately,author_reported_text,7,Section 3.2; Fig. 4e
M-0029,S-F05-CTRL,SRC-0005,FREE-5,EG-F05-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,planetary ball milling,10,400,40:1,,,desorption,isothermal_kinetics,374.85,,,180,3.6,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 4e
M-0030,S-F05-CTRL,SRC-0005,FREE-5,EG-F05-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,planetary ball milling,10,400,40:1,,,absorption,isothermal_kinetics,149.85,30,=,3600,0.6,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 4f
M-0031,S-F05-CTRL,SRC-0005,FREE-5,EG-F05-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,planetary ball milling,10,400,40:1,,,absorption,isothermal_kinetics,199.85,30,=,3600,5.6,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 4f
M-0032,S-F06-LVO15,SRC-0006,FREE-7,EG-F07-KIN,LA_V_OXIDE,MgH2,single_hydride,LaVO4,bimetallic_oxide,LaVO4,LaVO4,La|V|O,,15,planetary ball milling,12,500,150:1,,30-70 nm secondary particles; 3-4 um spheres,desorption,isothermal_kinetics,250,,,180,5.7,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 5a
M-0033,S-F06-LVO15,SRC-0006,FREE-7,EG-F07-KIN,LA_V_OXIDE,MgH2,single_hydride,LaVO4,bimetallic_oxide,LaVO4,LaVO4,La|V|O,,15,planetary ball milling,12,500,150:1,,30-70 nm secondary particles; 3-4 um spheres,desorption,isothermal_kinetics,210,,,1200,3,sample mass,approximately,author_reported_text,7,Section 3.2; Fig. 5a
M-0034,S-F06-LVO15,SRC-0006,FREE-7,EG-F07-KIN,LA_V_OXIDE,MgH2,single_hydride,LaVO4,bimetallic_oxide,LaVO4,LaVO4,La|V|O,,15,planetary ball milling,12,500,150:1,,30-70 nm secondary particles; 3-4 um spheres,desorption,isothermal_kinetics,230,,,1200,5.2,sample mass,approximately,author_reported_text,7,Section 3.2; Fig. 5a
M-0035,S-F06-LVO15,SRC-0006,FREE-7,EG-F07-KIN,LA_V_OXIDE,MgH2,single_hydride,LaVO4,bimetallic_oxide,LaVO4,LaVO4,La|V|O,,15,planetary ball milling,12,500,150:1,,30-70 nm secondary particles; 3-4 um spheres,absorption,isothermal_kinetics,50,50,=,1800,3.2,sample mass,approximately,author_reported_text,8,Section 3.2; Fig. 5b
M-0036,S-F06-LVO15,SRC-0006,FREE-7,EG-F07-KIN,LA_V_OXIDE,MgH2,single_hydride,LaVO4,bimetallic_oxide,LaVO4,LaVO4,La|V|O,,15,planetary ball milling,12,500,150:1,,30-70 nm secondary particles; 3-4 um spheres,absorption,isothermal_kinetics,100,50,=,1200,4.9,sample mass,reported,author_reported_text,8,Section 3.2; Fig. 5b
M-0037,S-F06-LVO15,SRC-0006,FREE-7,EG-F07-KIN,LA_V_OXIDE,MgH2,single_hydride,LaVO4,bimetallic_oxide,LaVO4,LaVO4,La|V|O,,15,planetary ball milling,12,500,150:1,,30-70 nm secondary particles; 3-4 um spheres,absorption,isothermal_kinetics,150,50,=,180,5.7,sample mass,reported,author_reported_text,8,Section 3.2; Fig. 5b
M-0038,S-F06-CTRL,SRC-0006,FREE-7,EG-F07-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,parallel ball-milled control,12,500,150:1,,,absorption,isothermal_kinetics,150,50,=,1200,1.1,sample mass,reported,author_reported_text,8,Section 3.2; Fig. 5b
M-0039,S-F07-VOC6,SRC-0007,FREE-8,EG-F08-KIN,V_OXIDE_CARBON,MgH2,single_hydride,V2O5@C,carbon_supported_oxide,V2O5 nanosheets on carbon; VO/V2O3 forms in situ,V2O5|C|VO|V2O3,V|O|C,carbon,6,ball milling,,,,,,desorption,isothermal_kinetics,300,,,180,6.2,sample mass,reported,author_reported_text,2,Results; Fig. 2c
M-0040,S-F07-VOC6,SRC-0007,FREE-8,EG-F08-KIN,V_OXIDE_CARBON,MgH2,single_hydride,V2O5@C,carbon_supported_oxide,V2O5 nanosheets on carbon; VO/V2O3 forms in situ,V2O5|C|VO|V2O3,V|O|C,carbon,6,ball milling,,,,,,desorption,isothermal_kinetics,250,,,600,5.8,sample mass,reported,author_reported_text,2,Results; Fig. 2c
M-0041,S-F07-VOC6,SRC-0007,FREE-8,EG-F08-KIN,V_OXIDE_CARBON,MgH2,single_hydride,V2O5@C,carbon_supported_oxide,V2O5 nanosheets on carbon; VO/V2O3 forms in situ,V2O5|C|VO|V2O3,V|O|C,carbon,6,ball milling,,,,,,desorption,isothermal_kinetics,225,,,3000,4.96,sample mass,reported,author_reported_text,3,Results; Fig. 2c
M-0042,S-F07-VOC6,SRC-0007,FREE-8,EG-F08-KIN,V_OXIDE_CARBON,MgH2,single_hydride,V2O5@C,carbon_supported_oxide,V2O5 nanosheets on carbon; VO/V2O3 forms in situ,V2O5|C|VO|V2O3,V|O|C,carbon,6,ball milling,,,,,,desorption,isothermal_kinetics,200,,,7200,3.59,sample mass,reported,author_reported_text,3,Results; Fig. 2c
M-0043,S-F07-VOC6,SRC-0007,FREE-8,EG-F08-KIN,V_OXIDE_CARBON,MgH2,single_hydride,V2O5@C,carbon_supported_oxide,V2O5 nanosheets on carbon; VO/V2O3 forms in situ,V2O5|C|VO|V2O3,V|O|C,carbon,6,ball milling,,,,,,desorption,isothermal_kinetics,180,,,27000,1.48,sample mass,reported,author_reported_text,3,Results; Fig. 2c
M-0044,S-F07-VOC6,SRC-0007,FREE-8,EG-F08-KIN,V_OXIDE_CARBON,MgH2,single_hydride,V2O5@C,carbon_supported_oxide,V2O5 nanosheets on carbon; VO/V2O3 forms in situ,V2O5|C|VO|V2O3,V|O|C,carbon,6,ball milling,,,,,,absorption,isothermal_kinetics,150,,,2430,6.03,sample mass,reported,author_reported_text,3,Results; Fig. 2d
M-0045,S-F07-VOC6,SRC-0007,FREE-8,EG-F08-KIN,V_OXIDE_CARBON,MgH2,single_hydride,V2O5@C,carbon_supported_oxide,V2O5 nanosheets on carbon; VO/V2O3 forms in situ,V2O5|C|VO|V2O3,V|O|C,carbon,6,ball milling,,,,,,absorption,isothermal_kinetics,125,,,1800,5.17,sample mass,reported,author_reported_text,3,Results; Fig. 2d
M-0046,S-F07-VOC6,SRC-0007,FREE-8,EG-F08-KIN,V_OXIDE_CARBON,MgH2,single_hydride,V2O5@C,carbon_supported_oxide,V2O5 nanosheets on carbon; VO/V2O3 forms in situ,V2O5|C|VO|V2O3,V|O|C,carbon,6,ball milling,,,,,,absorption,isothermal_kinetics,100,,,2490,4.84,sample mass,reported,author_reported_text,3,Results; Fig. 2d
M-0047,S-F07-VOC6,SRC-0007,FREE-8,EG-F08-KIN,V_OXIDE_CARBON,MgH2,single_hydride,V2O5@C,carbon_supported_oxide,V2O5 nanosheets on carbon; VO/V2O3 forms in situ,V2O5|C|VO|V2O3,V|O|C,carbon,6,ball milling,,,,,,absorption,isothermal_kinetics,75,,,1800,4.18,sample mass,reported,author_reported_text,3,Results; Fig. 2d
M-0048,S-F07-VOC6,SRC-0007,FREE-8,EG-F08-KIN,V_OXIDE_CARBON,MgH2,single_hydride,V2O5@C,carbon_supported_oxide,V2O5 nanosheets on carbon; VO/V2O3 forms in situ,V2O5|C|VO|V2O3,V|O|C,carbon,6,ball milling,,,,,,absorption,isothermal_kinetics,50,,,4800,3.94,sample mass,reported,author_reported_text,3,Results; Fig. 2d
M-0058,S-F08-NATI5,SRC-0008,FREE-9,EG-F09-KIN,NA_TI_OXIDE,MgH2,single_hydride,NaTiOxH,alkali_modified_oxide,NaH-doped TiO2,NaH|TiO2,Na|Ti|O|H,,5,planetary ball milling,16,,80:1,,,absorption,isothermal_kinetics,50,30,=,1800,4.4,sample mass,approximately,author_reported_text,3,Section 3.1; Fig. 2b
M-0059,S-F08-NATI5,SRC-0008,FREE-9,EG-F09-KIN,NA_TI_OXIDE,MgH2,single_hydride,NaTiOxH,alkali_modified_oxide,NaH-doped TiO2,NaH|TiO2,Na|Ti|O|H,,5,planetary ball milling,16,,80:1,,,absorption,isothermal_kinetics,100,30,=,1800,4.5,sample mass,approximately,author_reported_text,3,Section 3.1; Fig. 2b
M-0060,S-F08-NATI5,SRC-0008,FREE-9,EG-F09-KIN,NA_TI_OXIDE,MgH2,single_hydride,NaTiOxH,alkali_modified_oxide,NaH-doped TiO2,NaH|TiO2,Na|Ti|O|H,,5,planetary ball milling,16,,80:1,,,desorption,isothermal_kinetics,290,0.001,=,900,7.2,sample mass,approximately,author_reported_text,3,Section 3.1; Fig. 3a
M-0061,S-F08-NATI5,SRC-0008,FREE-9,EG-F09-KIN,NA_TI_OXIDE,MgH2,single_hydride,NaTiOxH,alkali_modified_oxide,NaH-doped TiO2,NaH|TiO2,Na|Ti|O|H,,5,planetary ball milling,16,,80:1,,,desorption,isothermal_kinetics,260,0.001,=,3600,6.9,sample mass,approximately,author_reported_text,3,Section 3.1; Fig. 3a
M-0062,S-F08-CTRL,SRC-0008,FREE-9,EG-F09-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,planetary ball milling,16,,80:1,,,desorption,isothermal_kinetics,290,0.001,=,7200,3.1,sample mass,approximately,author_reported_text,3,Section 3.1; Fig. 3a
M-0063,S-F08-NATI5,SRC-0008,FREE-9,EG-F09-KIN,NA_TI_OXIDE,MgH2,single_hydride,NaTiOxH,alkali_modified_oxide,NaH-doped TiO2,NaH|TiO2,Na|Ti|O|H,,5,planetary ball milling,16,,80:1,,,absorption,isothermal_kinetics,260,30,=,120,6.6,sample mass,approximately,author_reported_text,3,Section 3.1; Fig. 3b
M-0064,S-F08-NATI5,SRC-0008,FREE-9,EG-F09-KIN,NA_TI_OXIDE,MgH2,single_hydride,NaTiOxH,alkali_modified_oxide,NaH-doped TiO2,NaH|TiO2,Na|Ti|O|H,,5,planetary ball milling,16,,80:1,,,absorption,isothermal_kinetics,230,30,=,1200,6.9,sample mass,approximately,author_reported_text,3,Section 3.1; Fig. 3b
M-0065,S-F08-CTRL,SRC-0008,FREE-9,EG-F09-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,planetary ball milling,16,,80:1,,,absorption,isothermal_kinetics,230,30,=,1200,6,sample mass,approximately,author_reported_text,3,Section 3.1; Fig. 3b
M-0066,S-F08-CTRL,SRC-0008,FREE-9,EG-F09-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,planetary ball milling,16,,80:1,,,absorption,isothermal_kinetics,260,30,=,120,6.1,sample mass,approximately,author_reported_text,3,Section 3.1; Fig. 3b
M-0067,S-F08-NATI5,SRC-0008,FREE-9,EG-F09-KIN,NA_TI_OXIDE,MgH2,single_hydride,NaTiOxH,alkali_modified_oxide,NaH-doped TiO2,NaH|TiO2,Na|Ti|O|H,,5,planetary ball milling,16,,80:1,,,absorption,isothermal_kinetics,200,30,=,1800,6,sample mass,approximately,author_reported_text,3,Section 3.1; Fig. 3b
M-0068,S-F09-NCM7,SRC-0009,FREE-10,EG-F10-KIN,NI_CO_V_MOF,MgH2,single_hydride,NiCo-MOF/V-O,mof_derived_bimetallic_oxide,vanadium-induced Ni-Co MOF with V-O species,NiCo-MOF|V-O,Ni|Co|V|O,,7,planetary ball milling,15,400,40:1,,,desorption,isothermal_kinetics,300,,,200,6.4,sample mass,reported,author_reported_text,11,Conclusion; Fig. 4b
M-0069,S-F09-NCM7,SRC-0009,FREE-10,EG-F10-KIN,NI_CO_V_MOF,MgH2,single_hydride,NiCo-MOF/V-O,mof_derived_bimetallic_oxide,vanadium-induced Ni-Co MOF with V-O species,NiCo-MOF|V-O,Ni|Co|V|O,,7,planetary ball milling,15,400,40:1,,,desorption,isothermal_kinetics,300,,,300,6.5,sample mass,reported,author_reported_text,4,Section 3.2; Fig. 4b
M-0070,S-F09-NCM7,SRC-0009,FREE-10,EG-F10-KIN,NI_CO_V_MOF,MgH2,single_hydride,NiCo-MOF/V-O,mof_derived_bimetallic_oxide,vanadium-induced Ni-Co MOF with V-O species,NiCo-MOF|V-O,Ni|Co|V|O,,7,planetary ball milling,15,400,40:1,,,desorption,isothermal_kinetics,250,,,1200,5,sample mass,reported,author_reported_text,1,Abstract; Fig. 4b
M-0071,S-F09-NCM7,SRC-0009,FREE-10,EG-F10-KIN,NI_CO_V_MOF,MgH2,single_hydride,NiCo-MOF/V-O,mof_derived_bimetallic_oxide,vanadium-induced Ni-Co MOF with V-O species,NiCo-MOF|V-O,Ni|Co|V|O,,7,planetary ball milling,15,400,40:1,,,absorption,isothermal_kinetics,125,,,600,5.5,sample mass,reported,author_reported_text,1,Abstract; Fig. 4c
M-0072,S-F09-NCM7,SRC-0009,FREE-10,EG-F10-KIN,NI_CO_V_MOF,MgH2,single_hydride,NiCo-MOF/V-O,mof_derived_bimetallic_oxide,vanadium-induced Ni-Co MOF with V-O species,NiCo-MOF|V-O,Ni|Co|V|O,,7,planetary ball milling,15,400,40:1,,,absorption,isothermal_kinetics,100,,,1200,5.4,sample mass,approximately,author_reported_text,4,Section 3.2; Fig. 4c
M-0073,S-F09-CTRL,SRC-0009,FREE-10,EG-F10-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,planetary ball milling,15,400,40:1,,,desorption,isothermal_kinetics,300,,,1800,0.5,sample mass,reported,author_reported_text,4,Section 3.2; Fig. 4d
M-0074,S-F09-CTRL,SRC-0009,FREE-10,EG-F10-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,planetary ball milling,15,400,40:1,,,absorption,isothermal_kinetics,150,,,3600,0.6,sample mass,reported,author_reported_text,4,Section 3.2; Fig. 4c
M-0075,S-F10-NIOVC7,SRC-0010,FREE-11,EG-F11-KIN,NI_CO_OXIDE_GO,MgH2,single_hydride,Ni-OV-C@GO,carbon_supported_metal_oxide,Ni plus oxygen-vacancy-rich Co3O4 on graphene oxide,Ni|Co3O4|GO,Ni|Co|O|C,graphene oxide,7,planetary ball milling,8,400,80:1,,,desorption,isothermal_kinetics,324.85,0.0001,<,400,6.51,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 5a
M-0076,S-F10-NIOVC7,SRC-0010,FREE-11,EG-F11-KIN,NI_CO_OXIDE_GO,MgH2,single_hydride,Ni-OV-C@GO,carbon_supported_metal_oxide,Ni plus oxygen-vacancy-rich Co3O4 on graphene oxide,Ni|Co3O4|GO,Ni|Co|O|C,graphene oxide,7,planetary ball milling,8,400,80:1,,,desorption,isothermal_kinetics,299.85,0.0001,<,400,6.37,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 5a
M-0077,S-F10-NIOVC7,SRC-0010,FREE-11,EG-F11-KIN,NI_CO_OXIDE_GO,MgH2,single_hydride,Ni-OV-C@GO,carbon_supported_metal_oxide,Ni plus oxygen-vacancy-rich Co3O4 on graphene oxide,Ni|Co3O4|GO,Ni|Co|O|C,graphene oxide,7,planetary ball milling,8,400,80:1,,,desorption,isothermal_kinetics,274.85,0.0001,<,400,4.67,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 5a
M-0078,S-F10-CTRL,SRC-0010,FREE-11,EG-F11-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,planetary ball milling,8,400,80:1,,,desorption,isothermal_kinetics,324.85,0.0001,<,400,0.42,sample mass,reported,author_reported_text,5,Section 3.2; Fig. 5a
