sample_id,source_id,sample_label,base_material,material_class,catalyst_additive_raw,catalyst_family,catalyst_composition,catalyst_components,catalyst_elements,support_material,additive_loading_wt_pct,additive_ratio_raw,preparation_method,milling_time_h,milling_speed_rpm,ball_to_powder_ratio,milling_atmosphere,catalyst_synthesis_method,catalyst_pretreatment,mgh2_particle_size_raw,catalyst_particle_size_raw,experiment_group_id,catalyst_system_group,control_type,sample_note
S-F05-NIVN7,SRC-0005,MgH2-7 wt% Ni/VN,MgH2,single_hydride,Ni/VN,metal_nitride_composite,Ni nanoparticles on hollow spherical VN,Ni|VN,Ni|V|N,VN,7,,planetary ball milling,10,400,40:1,Ar,solvothermal synthesis,,,,EG-F05-KIN,NI_V_NITRIDE,,
S-F06-CTRL,SRC-0006,pristine MgH2 control,MgH2,single_hydride,,none,,,Mg,,0,,parallel ball-milled control,12,500,150:1,H2,,,,,EG-F07-KIN,MGH2_CONTROL,pristine_control,
S-F06-LVO15,SRC-0006,MgH2-15 wt% LaVO4,MgH2,single_hydride,LaVO4,bimetallic_oxide,LaVO4,LaVO4,La|V|O,,15,,planetary ball milling,12,500,150:1,5 MPa H2,spray drying and calcination,500 C calcination,,30-70 nm secondary particles; 3-4 um spheres,EG-F07-KIN,LA_V_OXIDE,,
S-F07-VOC6,SRC-0007,MgH2-6 wt% V2O5@C,MgH2,single_hydride,V2O5@C,carbon_supported_oxide,V2O5 nanosheets on carbon; VO/V2O3 forms in situ,V2O5|C|VO|V2O3,V|O|C,carbon,6,,ball milling,,,,,MXene-derived synthesis,,,,EG-F08-KIN,V_OXIDE_CARBON,,
S-F08-CTRL,SRC-0008,as-milled MgH2,MgH2,single_hydride,,none,,,Mg,,0,,planetary ball milling,16,,80:1,Ar glovebox,,,,,EG-F09-KIN,MGH2_CONTROL,as_milled_control,
S-F08-NATI2P5,SRC-0008,MgH2-2.5 wt% NaTiOxH,MgH2,single_hydride,NaTiOxH,alkali_modified_oxide,NaH-doped TiO2,NaH|TiO2,Na|Ti|O|H,,2.5,NaH:TiO2 = 1:1 molar,planetary ball milling,16,,80:1,Ar glovebox,ball milling NaH with TiO2 for 3 h,,,,EG-F09-CYCLE,NA_TI_OXIDE,,
S-F08-NATI5,SRC-0008,MgH2-5 wt% NaTiOxH,MgH2,single_hydride,NaTiOxH,alkali_modified_oxide,NaH-doped TiO2,NaH|TiO2,Na|Ti|O|H,,5,NaH:TiO2 = 1:1 molar,planetary ball milling,16,,80:1,Ar glovebox,ball milling NaH with TiO2 for 3 h,,,,EG-F09-KIN,NA_TI_OXIDE,,
S-F09-CTRL,SRC-0009,as-milled MgH2,MgH2,single_hydride,,none,,,Mg,,0,,planetary ball milling,15,400,40:1,Ar,,,,,EG-F10-KIN,MGH2_CONTROL,as_milled_control,
S-F09-NCM7,SRC-0009,MgH2-7 wt% NiCo-MOF/V-O,MgH2,single_hydride,NiCo-MOF/V-O,mof_derived_bimetallic_oxide,vanadium-induced Ni-Co MOF with V-O species,NiCo-MOF|V-O,Ni|Co|V|O,,7,,planetary ball milling,15,400,40:1,Ar,LDH-to-MOF transformation with vanadium,,,,EG-F10-KIN,NI_CO_V_MOF,,
S-F10-CTRL,SRC-0010,as-milled MgH2,MgH2,single_hydride,,none,,,Mg,,0,,planetary ball milling,8,400,80:1,Ar,,,,,EG-F11-KIN,MGH2_CONTROL,as_milled_control,
S-F10-OVC7,SRC-0010,OV-C@GO-MgH2-7,MgH2,single_hydride,OV-C@GO,carbon_supported_oxide,oxygen-vacancy-rich Co3O4 on graphene oxide,Co3O4|GO,Co|O|C,graphene oxide,7,,planetary ball milling,8,400,80:1,Ar,,,,,EG-F11-KIN,CO_OXIDE_GO,component_control,
S-F10-NIC7,SRC-0010,Ni-C@GO-MgH2-7,MgH2,single_hydride,Ni-C@GO,carbon_supported_metal,Ni on graphene oxide,Ni|GO,Ni|C,graphene oxide,7,,planetary ball milling,8,400,80:1,Ar,,,,,EG-F11-KIN,NI_GO,component_control,
S-F10-NIOVC7,SRC-0010,Ni-OV-C@GO-MgH2-7,MgH2,single_hydride,Ni-OV-C@GO,carbon_supported_metal_oxide,Ni plus oxygen-vacancy-rich Co3O4 on graphene oxide,Ni|Co3O4|GO,Ni|Co|O|C,graphene oxide,7,Ni:OV-C@Co3O4 = 3:1 by mass,planetary ball milling,8,400,80:1,Ar,ultrasonic dispersion,,,,EG-F11-KIN,NI_CO_OXIDE_GO,,
S-F11-CTRL,SRC-0011,pure MgH2,MgH2,single_hydride,,none,,,Mg,,0,,,,,,,,,,,EG-F12-KIN,MGH2_CONTROL,pure_control,
S-F11-BI2O3,SRC-0011,MgH2-10 wt% Bi2O3,MgH2,single_hydride,Bi2O3,oxide,Bi2O3,Bi2O3,Bi|O,,10,,high-energy ball milling,6,400,60:1,Ar glovebox,solvothermal-derived control,600 C for 3 h in air,,,EG-F12-KIN,BI_OXIDE,component_control,
S-F11-TIO2,SRC-0011,MgH2-10 wt% TiO2,MgH2,single_hydride,TiO2,oxide,TiO2,TiO2,Ti|O,,10,,high-energy ball milling,6,400,60:1,Ar glovebox,solvothermal-derived control,600 C for 3 h in air,,,EG-F12-KIN,TI_OXIDE,component_control,
S-F11-BTO10,SRC-0011,MgH2-10 wt% Bi2Ti2O7,MgH2,single_hydride,Bi2Ti2O7,bimetallic_oxide,Bi2Ti2O7 hollow spheres; Bi2Mg3 forms in situ,Bi2Ti2O7|Bi2Mg3,Bi|Ti|O|Mg,,10,,high-energy ball milling,6,400,60:1,Ar glovebox,solvothermal synthesis,600 C for 3 h in air,,hollow microspheres,EG-F12-KIN,BI_TI_OXIDE,,
S-F12-CTRL,SRC-0012,as-prepared MgH2,MgH2,single_hydride,,none,,,Mg,,0,,,,,,,,,,,EG-F14-KIN,MGH2_CONTROL,undoped_control,
S-F12-NINB73,SRC-0012,MgH2-10 wt% Ni0.7Nb0.3,MgH2,single_hydride,Ni0.7Nb0.3,bimetallic_alloy,Ni0.7Nb0.3 with surface Ni-Nb-O species,Ni0.7Nb0.3|Ni-Nb-O,Ni|Nb|O,,10,Ni:Nb = 7:3 molar,ball milling,6,400,40:1,Ar,precipitation/calcination/hydrogenation,450 C for 4 h under 4 MPa H2,,,EG-F14-KIN,NI_NB_ALLOY,,
S-F12-NINB91,SRC-0012,MgH2-10 wt% Ni0.9Nb0.1,MgH2,single_hydride,Ni0.9Nb0.1,bimetallic_alloy,Ni0.9Nb0.1 with surface Ni-Nb-O species,Ni0.9Nb0.1|Ni-Nb-O,Ni|Nb|O,,10,Ni:Nb = 9:1 molar,ball milling,6,400,40:1,Ar,precipitation/calcination/hydrogenation,450 C for 4 h under 4 MPa H2,,,EG-F14-KIN,NI_NB_ALLOY,,
S-F13-CTRL,SRC-0013,pure MgH2,MgH2,single_hydride,,none,,,Mg,,0,,,,,,,,,,,EG-F15-KIN,MGH2_CONTROL,pure_control,
S-F13-MN,SRC-0013,MnOx@Ti-MgO/MgH2,MgH2,single_hydride,MnOx@Ti-MgO,multiphase_oxide,MnOx and Ti species stabilized in MgO,MnOx|Ti-MgO,Mn|Ti|Mg|O,MgO,,not reported,high-energy ball milling,20,400,20:1,,hydrothermal precursor synthesis,TiMnO4 precursor heat-treated at 450 C for 2 h,,,EG-F15-KIN,MN_TI_MGO,,Additive loading was not reported in recoverable text and is left null.
S-F13-CU,SRC-0013,CuOx@Ti-MgO/MgH2,MgH2,single_hydride,CuOx@Ti-MgO,multiphase_oxide,CuOx and Ti species stabilized in MgO,CuOx|Ti-MgO,Cu|Ti|Mg|O,MgO,,not reported,high-energy ball milling,20,400,20:1,,hydrothermal precursor synthesis,TiCuO4 precursor heat-treated at 450 C for 2 h,,,EG-F15-KIN,CU_TI_MGO,,Additive loading was not reported in recoverable text and is left null.
S-F14-CTRL,SRC-0014,pure ball-milled MgH2,MgH2,single_hydride,,none,,,Mg,,0,,high-energy ball milling,6,450,50:1,,,,,,EG-F16-KIN,MGH2_CONTROL,ball_milled_control,
S-F14-FEOS,SRC-0014,(FeO)S@PPC/MgH2,MgH2,single_hydride,(FeO)S@PPC,carbon_supported_iron_oxide_sulfide,Fe-O-S sites on porous petroleum coke carbon,FeO|S|PPC,Fe|O|S|C,porous petroleum coke carbon,10,catalyst:MgH2 = 1:9 by mass,high-energy ball milling,6,450,50:1,,petroleum-coke activation and metal incorporation,,,,EG-F16-KIN,FE_O_S_C,component_control,
S-F14-FENI,SRC-0014,(FeNi)@PPC/MgH2,MgH2,single_hydride,(FeNi)@PPC,carbon_supported_bimetal,FeNi on desulfurized porous petroleum coke carbon,FeNi|PPC,Fe|Ni|C,porous petroleum coke carbon,10,catalyst:MgH2 = 1:9 by mass,high-energy ball milling,6,450,50:1,,petroleum-coke activation and metal incorporation,,,,EG-F16-KIN,FE_NI_C,component_control,
S-F14-FENIS,SRC-0014,(FeNi)S@PPC/MgH2,MgH2,single_hydride,(FeNi)S@PPC,carbon_supported_bimetal_sulfide,FeNi-S coordinated sites on sulfur-self-doped porous petroleum coke carbon,FeNi-S|PPC,Fe|Ni|S|C,porous petroleum coke carbon,10,catalyst:MgH2 = 1:9 by mass,high-energy ball milling,6,450,50:1,,K2FeO4 activation and metal incorporation,,,,EG-F16-KIN,FE_NI_S_C,,
S-F15-NICNT2P5,SRC-0015,MgH2-2.5 wt% Ni@CNT,MgH2,single_hydride,Ni@CNT,carbon_supported_metal,Ni-coated carbon nanotubes,Ni|CNT,Ni|C,carbon nanotubes,2.5,,high-energy ball milling,12,450,30:1,Ar,filtration plus one-pot calcination,10 h under Ar at 5 C/min,,,EG-F17-KIN,NI_CNT,,Ball-to-powder ratio is calculated from explicitly reported 60 g balls and 2 g sample and is marked as an exact arithmetic normalization in extraction notes.
S-F15-NICNT5,SRC-0015,MgH2-5 wt% Ni@CNT,MgH2,single_hydride,Ni@CNT,carbon_supported_metal,Ni-coated carbon nanotubes,Ni|CNT,Ni|C,carbon nanotubes,5,,high-energy ball milling,12,450,30:1,Ar,filtration plus one-pot calcination,10 h under Ar at 5 C/min,,,EG-F17-KIN,NI_CNT,,Ball-to-powder ratio is calculated from explicitly reported 60 g balls and 2 g sample and is marked as an exact arithmetic normalization in extraction notes.
S-F15-NICNT7P5,SRC-0015,MgH2-7.5 wt% Ni@CNT,MgH2,single_hydride,Ni@CNT,carbon_supported_metal,Ni-coated carbon nanotubes,Ni|CNT,Ni|C,carbon nanotubes,7.5,,high-energy ball milling,12,450,30:1,Ar,filtration plus one-pot calcination,10 h under Ar at 5 C/min,,,EG-F17-KIN,NI_CNT,,Ball-to-powder ratio is calculated from explicitly reported 60 g balls and 2 g sample and is marked as an exact arithmetic normalization in extraction notes.
S-EA-CTRL,SRC-0016,ball-milled MgH2,MgH2,single_hydride,,none,,,Mg,,0,,ball milling,5,400,40:1,Ar,,,,,EG-EA-KIN,MGH2_CONTROL,ball_milled_control,
S-EA-FENI2S4,SRC-0016,MgH2-FeNi2S4,MgH2,single_hydride,FeNi2S4,sulfide,ternary transition-metal sulfide FeNi2S4,FeNi2S4,Fe|Ni|S,,10,FeNi2S4:MgH2 = 1:10 by mass,ball milling after hydrogenation,5,400,40:1,Ar,solvothermal synthesis,hydrogenated at 673 K under 4 MPa for 20 h,,,EG-EA-KIN,FE_NI_SULFIDE,,Loading is retained as the author's 1:10 catalyst-to-MgH2 ratio; 10 wt% denotes relative-to-MgH2 convention rather than recalculated composite fraction.
S-EB-UNDOPED,SRC-0017,4MgH2-NaAlH4,MgH2-NaAlH4,reactive_hydride_composite,,none,4MgH2-NaAlH4,MgH2|NaAlH4,Mg|Na|Al|H,,0,MgH2:NaAlH4 = 4:1 molar,planetary ball milling,3,,40:1,Ar glovebox,,,,,EG-EB-KIN,MG_NA_AL_RHC,undoped_control,Three-hour milling sample selected by the authors.
S-EB-COTIO3,SRC-0017,CoTiO3-doped 4MgH2-NaAlH4,MgH2-NaAlH4,reactive_hydride_composite,CoTiO3,oxide,CoTiO3,CoTiO3,Co|Ti|O,,10,MgH2:NaAlH4 = 4:1 molar,planetary ball milling,3,,40:1,Ar glovebox,synthesis described in cited prior report,,,,EG-EB-KIN,MG_NA_AL_COTIO3_RHC,,Three-hour milling sample selected by the authors.
S-EC-RHC,SRC-0018,3CaH2+4MgB2+CaF2,CaH2-MgB2-CaF2,reactive_hydride_composite,CaF2,fluoride_modified_reactive_composite,3CaH2+4MgB2+CaF2,CaH2|MgB2|CaF2,Ca|Mg|B|F|H,,,3CaH2:4MgB2:CaF2 stoichiometric composition,two-stage SPEX ball milling,87,,10:1,Ar glovebox,,60 h CaH2/CaF2 then 27 h with MgB2,,,EG-EC-SORP,CA_MG_B_F_RHC,,Extended non-MgH2-catalyst system; excluded from default training.
