paper_id,doi,title,year,journal,url,local_filename,access_type,dataset_scope,priority,primary_experimental,has_supplement,downloaded,full_text_verified,notes
FREE-11,10.1016/j.jma.2024.12.015,Graphene oxide supported oxygen vacancy-rich Co3O4 and Ni nanoparticle for boosting the hydrogen storage properties of MgH2,2026,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2024.12.015,data/phase4_data_sources/core_primary/oxides/FREE-11__2026__Co3O4_Ni_GO.pdf,open_access_version_of_record,core_mgh2,high,true,true,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-08-11/3fcc2b60-2a86-4f0f-8c0c-a546295de8b8.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
FREE-12,10.1016/j.jma.2025.06.014,Enhancing hydrogen storage performance of MgH2 with hollow Bi2Ti2O7 catalyst: Synergistic effects of Bi2Mg3 alloy phase and Ti polyvalency,2025,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2025.06.014,data/phase4_data_sources/core_primary/oxides/FREE-12__2025__Bi2Ti2O7.pdf,open_access_version_of_record,core_mgh2,medium,true,true,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (13 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-08-17/51712e2c-24d4-47de-be83-051ab32e6fee.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
FREE-13,10.1016/j.jma.2025.03.014,Reduced graphene oxide/patronite composite as highly active catalyst precursors for enhancing the hydrogen desorption of MgH2,2025,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2025.03.014,,open_access_version_of_record,core_mgh2,high,unknown,unknown,false,false,"ACCESS-BLOCKED: Gold OA metadata, but SciOpen article returned 404 and ScienceDirect required human verification. No PDF obtained. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified."
FREE-14,10.1016/j.jma.2024.10.011,Cation-induced topical disordered niobium nickel oxide for robust hydrogen storage in magnesium hydride,2025,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2024.10.011,data/phase4_data_sources/core_primary/oxides/FREE-14__2025__Ni_Nb_oxide.pdf,open_access_version_of_record,core_mgh2,high,true,true,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-07-14/465a81e3-e736-4011-9151-bba6dba46b27.pdf Ni-Nb composition/control comparison; promising systematic catalyst study. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
FREE-15,10.1016/j.jma.2025.02.032,Chemically stable TMOx@Ti-MgO (TM = Mn and Cu) catalyst enhanced De/hydrogenation kinetics of Mg/MgH2,2026,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2025.02.032,data/phase4_data_sources/core_primary/oxides/FREE-15__2026__TMOx_Ti_MgO.pdf,open_access_version_of_record,core_mgh2,high,true,true,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (9 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-08-11/91190b24-cfe7-41e5-b0d0-ceaafdd7d34a.pdf Priority for later extraction: paired Mn/Cu catalyst families under one study. Crossref title drops subscript x; title corrected from PDF to TMOx. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
FREE-16,10.1016/j.jma.2026.102033,Synthesis of sulfur self-doped FeNi–S coordinated carbon derived from petroleum coke for accelerated Mg/MgH2 hydrogen storage,2026,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2026.102033,data/phase4_data_sources/core_primary/sulfides/FREE-16__2026__FeNi_S_carbon.pdf,open_access_version_of_record,core_mgh2,high,true,true,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (15 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-07-07/e35adfaa-1b62-4bfb-ba73-3d8f70d0fe59.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
FREE-17,10.1016/s1003-6326(24)66565-9,Vermiform Ni@CNT derived from one-pot calcination of Ni-MOF precursor for improving hydrogen storage of MgH2,2024,Transactions of Nonferrous Metals Society of China,https://doi.org/10.1016/s1003-6326(24)66565-9,data/phase4_data_sources/core_primary/carbon_supported/FREE-17__2024__Ni_at_CNT.pdf,open_access_version_of_record,core_mgh2,high,true,true,true,true,"Locally supplied full article subsequently obtained through a legitimate route; title and DOI matched, readable complete 16-page version-of-record PDF verified. Original provenance preserved: the official TNMSC PDF handler had returned HTTP 500 and the ScienceDirect route was blocked, so the earlier acquisition attempt failed even though the article is open access. Supplementary figures are referenced; no separate supplement file was acquired."
FREE-18,10.1016/j.cej.2024.153203,Effect of Ce0.6Zr0.4O2 nanocrystals on boosting hydrogen storage performance of MgH2,2024,Chemical Engineering Journal,https://doi.org/10.1016/j.cej.2024.153203,,unknown,core_mgh2,medium,unknown,unknown,false,false,ACCESS-BLOCKED: Guide says View Open Manuscript. This could not be confirmed: publisher access blocked and no OA manuscript location found in OpenAlex or focused public search. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
FREE-19,10.1039/c7dt04665k,Improved hydrogen storage properties of MgH2 by the addition of FeS2 micro-spheres,2018,Dalton Transactions,https://doi.org/10.1039/c7dt04665k,,unknown,core_mgh2,high,unknown,true,false,false,ACCESS-BLOCKED: Guide direct RSC full-text endpoint was not freely reachable: 403/security verification and unauthenticated abstract landing. ESI identified at https://www.rsc.org/suppdata/c7/dt/c7dt04665k/c7dt04665k1.pdf but current local download returned 404; not acquired. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.
FREE-20,10.1039/c5ta03721b,Porous Ni nanofibers with enhanced catalytic effect on the hydrogen storage performance of MgH2,2015,Journal of Materials Chemistry A,https://doi.org/10.1039/c5ta03721b,,unknown,core_mgh2,high,unknown,true,false,false,"ACCESS-BLOCKED: Guide direct RSC PDF returned 403/security verification. Adelaide repository candidate did not load; no manuscript was acquired. Publisher advertises supplementary information, not downloaded. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
NOPDF-1,10.1016/j.ijhydene.2024.08.449,"MOF-derived carbon supported transition metal (Fe, Ni) and synergetic catalysis for hydrogen storage kinetics of MgH2",2024,International Journal of Hydrogen Energy,https://doi.org/10.1016/j.ijhydene.2024.08.449,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-2,10.1016/j.jallcom.2020.156035,Improve hydrogen sorption kinetics of MgH2 by doping carbon-encapsulated iron-nickel nanoparticles,2020,Journal of Alloys and Compounds,https://doi.org/10.1016/j.jallcom.2020.156035,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-3,10.1016/j.fuel.2025.135635,Hydrogen storage in MgH2 catalyzed by Fe nanoparticles and hollow silica spheres,2025,Fuel,https://doi.org/10.1016/j.fuel.2025.135635,,institutional_access_required,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified. UMPSA institutional record 45087 has a staff-only PDF; restriction respected.
NOPDF-4,10.1016/j.est.2025.116824,Synergistic effect of MOF-derived carbon-supported CoNi and FeNi bimetallic catalysts on hydrogen storage kinetics of MgH2,2025,Journal of Energy Storage,https://doi.org/10.1016/j.est.2025.116824,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-5,10.1016/j.est.2024.113843,Research on the modification of magnesium hydride by two-dimensional layered Mo2Ti2C3 MXene,2024,Journal of Energy Storage,https://doi.org/10.1016/j.est.2024.113843,,unknown,core_mgh2,medium,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-6,10.1016/j.cej.2024.149434,Enhanced catalysis of Pd single atoms on Sc2O3 nanoparticles for hydrogen storage of MgH2,2024,Chemical Engineering Journal,https://doi.org/10.1016/j.cej.2024.149434,,unknown,core_mgh2,medium,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-7,10.1021/acsaem.4c01892,Nanosized SrTiO3 Catalyzes Hydrogen Sorption of MgH2,2024,ACS Applied Energy Materials,https://doi.org/10.1021/acsaem.4c01892,,unknown,core_mgh2,medium,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-8,10.1016/j.cej.2024.155285,Size-dependent activity modulation of supported Ni nanocatalysts for efficient solid-state hydrogen storage in magnesium,2024,Chemical Engineering Journal,https://doi.org/10.1016/j.cej.2024.155285,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-9,10.1016/j.cej.2024.155877,Fabrication of V2O3-TiO2-rGO ternary heterojunction composite to enhance the hydrogen storage performance of MgH2,2024,Chemical Engineering Journal,https://doi.org/10.1016/j.cej.2024.155877,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-10,10.1016/j.ijhydene.2021.05.172,Improved hydrogen storage properties of MgH2 using transition metal sulfides as catalyst,2021,International Journal of Hydrogen Energy,https://doi.org/10.1016/j.ijhydene.2021.05.172,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-11,10.1021/acsami.6b13222,Formation of Multiple-Phase Catalysts for the Hydrogen Storage of Mg Nanoparticles by Adding Flowerlike NiS,2017,ACS Applied Materials & Interfaces,https://doi.org/10.1021/acsami.6b13222,,unknown,core_mgh2,high,unknown,true,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified. Public ACS Figshare supplement acquired; full article remains unavailable.
NOPDF-12,10.1016/j.est.2025.117418,Enhancing hydrogen sorption performances of MgH2 by in-situ introduction of molybdate derived FeMo nano catalysts,2025,Journal of Energy Storage,https://doi.org/10.1016/j.est.2025.117418,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-13,10.1016/j.jtice.2022.104311,Improved MgH2 kinetics and cyclic stability by fibrous spherical NiMoO4 and rGO,2022,Journal of the Taiwan Institute of Chemical Engineers,https://doi.org/10.1016/j.jtice.2022.104311,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-14,10.1016/j.ijhydene.2024.11.092,Multivalent transition metal oxyfluorides as efficient catalysts for improving hydrogen cycling kinetics of MgH2,2024,International Journal of Hydrogen Energy,https://doi.org/10.1016/j.ijhydene.2024.11.092,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-15,10.1016/j.ijhydene.2022.11.191,Dual-cation K2TaF7 catalyst improves high-capacity hydrogen storage behavior of MgH2,2023,International Journal of Hydrogen Energy,https://doi.org/10.1016/j.ijhydene.2022.11.191,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-16,10.1016/j.jpowsour.2006.04.059,Catalytic activity of oxides and halides on hydrogen storage of MgH2,2006,Journal of Power Sources,https://doi.org/10.1016/j.jpowsour.2006.04.059,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified. HKUST repository record 1783.1-59940 provides no public manuscript.
NOPDF-17,10.1016/j.est.2025.117958,Catalytic alteration in hydrogen storage properties of MgH2 by adding CaTiO3,2025,Journal of Energy Storage,https://doi.org/10.1016/j.est.2025.117958,,unknown,core_mgh2,medium,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-18,10.1016/j.seppur.2024.129760,"Synchronously upgrading of hydrogen storage thermodynamic, kinetics and cycling properties of MgH2 via VTiMn catalyst",2025,Separation and Purification Technology,https://doi.org/10.1016/j.seppur.2024.129760,,unknown,core_mgh2,medium,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-19,10.1016/j.jallcom.2025.181259,Polymeric carbon nitride supported single-phase Ni with exceptional catalytic effect on MgH2 for hydrogen storage,2025,Journal of Alloys and Compounds,https://doi.org/10.1016/j.jallcom.2025.181259,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-20,10.1016/j.ijhydene.2025.05.017,Effect of porous nanosheet NiO on hydrogen storage performance of MgH2,2025,International Journal of Hydrogen Energy,https://doi.org/10.1016/j.ijhydene.2025.05.017,,unknown,core_mgh2,medium,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-21,10.1016/j.ijhydene.2025.152589,Leaf-carbon-supported FeCo nanocatalysts enable 200 °C desorption and high reversibility in MgH2 hydrogen storage,2025,International Journal of Hydrogen Energy,https://doi.org/10.1016/j.ijhydene.2025.152589,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-22,10.1016/j.ijhydene.2026.156007,Carbon scaffold supporting Ni and Fe–Ni sulfides for boosting hydrogen storage in MgH2,2026,International Journal of Hydrogen Energy,https://doi.org/10.1016/j.ijhydene.2026.156007,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
NOPDF-23,10.1021/acsami.4c18239,Effect of Ti-EG-Ni Dual-Metal Organic Crystal-Derived TiO2/C/Ni on the Hydrogen Storage Performance of MgH2,2025,ACS Applied Materials & Interfaces,https://doi.org/10.1021/acsami.4c18239,,unknown,core_mgh2,high,unknown,true,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified. Public ACS Figshare supplement acquired; full article remains unavailable.
NOPDF-24,10.1007/s12598-025-03517-2,Construction of NiS/carbon fibers confined NiS composite: high catalytic activity for enhancing the hydrogen storage performances of MgH2,2025,Rare Metals,https://doi.org/10.1007/s12598-025-03517-2,,unknown,core_mgh2,high,unknown,unknown,false,false,ACCESS-BLOCKED: DOI/title/journal verified with Crossref; publisher and focused legitimate-source searches plus OpenAlex found no freely downloadable full article. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
EXISTING-A,10.1016/j.jma.2021.11.033,Effect of ternary transition metal sulfide FeNi2S4 on hydrogen storage performance of MgH2,2023,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2021.11.033,data/phase4_data_sources/core_primary/sulfides/EXISTING-A__2023__MgH2_FeNi2S4.pdf,open_access_version_of_record,core_mgh2,high,true,true,true,true,"Existing full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Existing full primary article retained as core. Its printed supplementary locator points to 10.1016/j.sipas.2020.100009, which differs from this article DOI; do not associate that target without verification. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
EXISTING-B,10.1016/j.jma.2024.03.004,Inclusion of CoTiO3 to ameliorate the re/dehydrogenation properties of the Mg–Na–Al system,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2024.03.004,data/phase4_data_sources/extended_primary/reactive_hydride_composites/EXISTING-B__2024__MgH2_NaAlH4_CoTiO3.pdf,open_access_version_of_record,extended_reactive_composite,reference,true,unknown,true,true,"Existing full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Experimental MgH2-NaAlH4/CoTiO3 reactive system; extended only."
EXISTING-C,10.1016/j.jssc.2011.09.019,Sorption and desorption properties of a CaH2/MgB2/CaF2 reactive hydride composite as potential hydrogen storage material,2011,Journal of Solid State Chemistry,https://doi.org/10.1016/j.jssc.2011.09.019,data/phase4_data_sources/extended_primary/reactive_hydride_composites/EXISTING-C__2011__CaH2_MgB2_CaF2.pdf,open_accepted_manuscript,extended_reactive_composite,reference,true,unknown,true,true,"Existing full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (22 pages). Existing Helmholtz Final Draft accepted manuscript, complete article. CaH2/MgB2/CaF2 reactive hydride composite; extended only."
